publishingOrgKey,title,lat,long,nSpecimens
a42867f0-813a-11dc-82e0-b8a03c50a862,Delaware Museum of Natural History,39.79819,-75.61199,111
4bce8f23-20a5-48a7-b25a-83700caad2db,INRA Antilles-Guyane,16.40297603,-61.48451757,24
218534d0-925e-11da-8900-b8a03c50a862,"Wrocław University, Museum of Natural History",51.11683,17.04647,7
4200d851-2340-4411-bda9-126613424633,Southeastern Louisiana University Vertebrate Museum,30.51028,-90.466908,6
ee6ec6e6-cbcc-455c-8ed7-5927c7834fa9,"Price Institute of Parasite Research, School of Biological Sciences, University of Utah",40.76368,-111.84873,43
b0e368b3-da4b-45ff-8d24-12ffd422bc38,Illinois State Museum,39.69316,-89.79164,15
94ec6243-9b21-4c04-9cc6-cefa1cf627c0,Purdue Entomological Research Collection,40.42349,-86.91656,8
4f1bbd8f-a4ad-40dd-b098-283792d3679b,Western New Mexico University,32.77651,-108.28206,25
64bd66c1-e7d3-48d0-9462-488729aed122,Commonwealth Scientific and Industrial Research Organisation,-37.92131057,145.1656641,6
f6e2efc9-42a3-47ea-99c6-3eda8d653cc9,Universidade Federal do Paraná,-25.42726,-49.262,19
0d923068-1cec-44de-8b78-33a51fb0cacd,"Colorado State University, C.P. Gillette Museum of Arthropod Diversity",40.57344,-105.08655,4
76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,Universidade de São Paulo,-23.56132041,-46.73122898,7
0367bada-2207-4a79-8632-ff66038998b3,University of Guam Insect Collection,13.43059,144.80067,6
41d6acb0-48b5-11db-a1c2-b8a03c50a862,Michigan State University Herbarium,42.71873,-84.47764,1460
cecc196e-f262-4986-a88a-6adf035dca0e,The South African Institute for Aquatic Biodiversity,-33.31067054,26.52404238,3
45346344-bad3-4a45-8563-98955464b3ca,University of Puerto Rico Mayagüez Invertebrate Collection,18.22125,-67.14521,82
f3b58cd2-a559-4f3a-b94d-01448b508821,"South Dakota School of Mines and Technology, Museum of Geology and Paleontology Research Laboratory",44.07368,-103.20847,1
29817330-5d61-11d8-b9b2-b8a03c50a862,CABI (Centre for Agriculture and Biosciences International),51.59721227,-1.133632961,222
4cadac10-3e7b-11d9-8439-b8a03c50a862,University of Colorado Museum of Natural History,40.0069,-105.27279,108
60f8ce17-065e-40ff-bac6-4f85f5edaedd,Museo Entomológico de León – MEL,12.4380476,-86.87314214,1
6e1cad80-bdf5-11d8-84ea-b8a03c50a862,Zoologisches Forschungsinstitut und Museum Alexander Koenig,50.7333,7.1333,3
cffcb703-dccc-464e-ade3-c5668311dcf6,Frost Entomological Museum,40.80307,-77.86231,6
ac1a4340-812c-11de-86fe-b8a03c50a862,New Mexico Museum of Natural History and Science,35.09796,-106.66561,124
06fcbbf0-0562-11d8-b851-b8a03c50a862,University of Washington Burke Museum,47.66063,-122.31066,1
8a471700-4ce8-11db-b80e-b8a03c50a862,San Diego Natural History Museum,32.73207,-117.14729,6
1e9400fa-ce73-4737-9eaa-f25df148945c,Caribbean OBIS Node,10.98787034,-74.78590357,1
b542788f-0dc2-4a2b-b652-fceced449591,University of British Columbia,49.26326,-123.25102,124
174c6da2-e002-42fe-9f56-2f9d670240f4,University of Michigan Herbarium,42.23645,-83.72816,1188
f56c5f80-055c-11d8-b84e-b8a03c50a862,James R. Slater Museum of Natural History,47.26124,-122.48033,15
d9ccac00-9bc7-11de-a329-b8a03c50a862,"The University Museum of Zoology, Cambridge",52.2029,0.12049,378
485ff490-e3b7-11db-9acc-b8a03c50a862,Harvard University Herbaria,42.3787,-71.11459,1244
9a367b8c-22dd-402d-9161-d3c64c6d6a94,"University of Arkansas Collections Facility, UAFMC",36.0685158,-94.17488453,1
78678140-1815-11da-9544-b8a03c50a862,Santa Barbara Museum of Natural History,34.44088,-119.71549,1
f2489500-dbab-4fbc-95ed-19eead127483,Chicago Academy of Sciences,42.30063,-87.50011,26
c10e9f64-38b0-4cb9-98d3-92b82cb7256a,Humboldt State University,40.87589,-124.07925,2
